Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee
Trades,Data,Order,Stock,HKD,2039,"2021-09-09, 03:31:54",100,18.66,,1866.00,23.643682
Trades,Data,Order,Stock,HKD,2039,"2021-09-12, 22:53:26",100,18.2,,1820.0,23.64014
Trades,Data,Order,Stock,HKD,2039,"2021-10-03, 21:20:08",100,16.14,,1614.00,23.624278
Trades,Data,Order,Stock,HKD,2039,"2021-10-17, 21:20:03",100,15,,1500,22.6155
Trades,Data,Order,Stock,HKD,2039,"2021-10-28, 21:20:03",100,14.74,,1474.00,22.613498
Trades,Data,Order,Stock,HKD,2039,"2021-11-02, 23:01:33",100,14.9,,1490.0,22.61473
Trades,Data,Order,Stock,HKD,2039,"2021-11-02, 23:21:51",100,14.8,,1480.0,22.61396
Trades,Data,Order,Stock,HKD,2039,"2022-02-11, 02:20:36",300,13.96,,4188.00,26.828758
Trades,Data,Order,Stock,USD,ASX,"2021-09-20, 09:30:00",20,8.35,,167.00,0.37425725
Trades,Data,Order,Stock,USD,ASX,"2022-07-15, 09:33:43",20,5.27,,105.40,1
Trades,Data,Order,Stock,USD,DKNG,"2021-11-05, 09:30:03",15,42.42,,636.30,0.37575725
Trades,Data,Order,Stock,USD,DKNG,"2022-01-04, 12:45:07",15,26.33,,394.95,0.32175725
Trades,Data,Order,Stock,USD,DKNG,"2022-02-18, 09:36:16",20,18.66,,373.20,0.31225725
Trades,Data,Order,Stock,USD,HOOD,"2021-11-30, 11:41:55",16,27,,432,0.35345725
Trades,Data,Order,Stock,USD,HOOD,"2021-12-17, 10:23:34",20,18.06,,361.20,0.31225725
Trades,Data,Order,Stock,USD,HOOD,"2022-02-24, 09:30:04",14,10.01,,140.14,0.37405725
Trades,Data,Order,Stock,USD,IBKR,"2021-09-20, 09:30:02",3,60.66,,181.98,0.34455725
Trades,Data,Order,Stock,USD,IBKR,"2021-09-08, 11:50:27",1,63.06,,63.06,0.34455725
Trades,Data,Order,Stock,USD,IDXX,"2022-05-03, 10:24:25",1,431.07,,431.07,1
Trades,Data,Order,Stock,USD,IDXX,"2022-05-04, 09:30:02",1,382,,382,1
Trades,Data,Order,Stock,USD,INTC,"2021-11-18, 10:38:09",10,49.33,,493.30,0.33125725
Trades,Data,Order,Stock,USD,KGC,"2021-12-09, 11:09:11",30,5.29,,158.70,0.27025725
Trades,Data,Order,Stock,USD,KGC,"2022-08-23, 09:30:01",60,3.48,,208.80,1
Trades,Data,Order,Stock,USD,KTOS,"2021-10-27, 10:41:59",5,22.06,,110.30,0.33125725
Trades,Data,Order,Stock,USD,KTOS,"2022-01-13, 15:29:43",25,17.33,,433.25,0.30275725
Trades,Data,Order,Stock,USD,KTOS,"2022-08-25, 10:56:38",15,13.66,,204.90,1
Trades,Data,Order,Stock,USD,KTOS,"2022-11-25, 09:30:01",30,9.271666667,,278.150000010,1
Trades,Data,Order,Stock,USD,LYFT,"2021-11-05, 09:34:59",10,51.745,,517.450,0.35225725
Trades,Data,Order,Stock,USD,LYFT,"2022-01-18, 10:31:38",10,40.13,,401.30,0.33125725
Trades,Data,Order,Stock,USD,LYFT,"2022-05-20, 13:10:31",10,18.13,,181.30,1
Trades,Data,Order,Stock,USD,LYFT,"2022-08-23, 09:30:03",15,15.67333333,,235.09999995,1
Trades,Data,Order,Stock,USD,MRNA,"2022-04-28, 10:30:00",3,138.13,,414.39,1
Trades,Data,Order,Stock,USD,MRNA,"2022-09-23, 12:16:45",2,121.33,,242.66,1
Trades,Data,Order,Stock,USD,NIO,"2021-08-16, 09:30:03",9,39.33,,353.97,0.34025725
Trades,Data,Order,Stock,USD,NIO,"2022-01-05, 14:45:19",15,30.33,,454.95,0.33525725
Trades,Data,Order,Stock,USD,NIO,"2022-07-19, 09:46:00",10,20.13,,201.30,1
Trades,Data,Order,Stock,USD,NIO,"2022-11-25, 09:30:00",20,10.25,,205.00,1
Trades,Data,Order,Stock,USD,OGI,"2021-06-04, 10:08:35",100,3.11,,311.00,0.16025725
Trades,Data,Order,Stock,USD,OGI,"2021-07-06, 09:34:08",50,2.71,,135.50,0.25525725
Trades,Data,Order,Stock,USD,OGI,"2021-08-04, 12:56:21",50,2.51,,125.50,0.25525725
Trades,Data,Order,Stock,USD,OGI,"2021-11-18, 10:19:07",100,2.06,,206.00,0.16025725
Trades,Data,Order,Stock,USD,SLV,"2021-09-16, 09:32:05",10,21.31,,213.10,0.33225725
Trades,Data,Order,Stock,USD,SNAP,"2021-12-15, 10:37:28",10,45.35,,453.50,0.34025725
Trades,Data,Order,Stock,USD,SNAP,"2022-02-03, 09:34:41",10,26.01,,260.10,0.36225725
Trades,Data,Order,Stock,USD,SNAP,"2022-07-22, 09:31:09",15,11,,165,1
Trades,Data,Order,Stock,USD,SNAP,"2022-09-23, 09:30:35",15,10.32,,154.80,1
Trades,Data,Order,Stock,USD,T,"2021-11-04, 10:06:10",20,25.135,,502.700,0.35425725
Trades,Data,Order,Stock,USD,TLRY,"2021-06-15, 10:29:53",20,18.33,,366.60,0.31225725
Trades,Data,Order,Stock,USD,TLRY,"2021-08-16, 10:20:51",15,13.06,,195.90,0.32175725
Trades,Data,Order,Stock,USD,TLRY,"2021-09-14, 12:01:40",15,11.95,,179.25,0.32925725
Trades,Data,Order,Stock,USD,TLRY,"2021-09-28, 12:57:54",10,11.61,,116.10,0.33125725
Trades,Data,Order,Stock,USD,TLRY,"2022-09-06, 10:00:48",50,3.22,,161.00,1
Trades,Data,Order,Stock,USD,UBER,"2021-12-13, 15:18:56",14,35.66,,499.24,0.33625725
Trades,Data,Order,Stock,USD,VIAC,"2021-11-04, 10:59:51",10,36.23,,362.30,0.33125725
Trades,Data,Order,Stock,USD,WRK,"2021-11-19, 09:33:45",10,47.06,,470.60,0.34025725
Trades,Data,Order,Stock,EUR,CONd,"2022-02-21, 14:20:02",5,82.29,,411.45,1.25
Trades,Data,Order,Stock,HKD,1810,"2022-02-13, 20:41:04",200,16.04,,3208.00,25.751828
Trades,Data,Order,Stock,HKD,1810,"2022-04-25, 21:56:33",200,10.9,,2180.0,21.06213
Trades,Data,Order,Stock,USD,COIN,"2022-01-28, 09:35:55",2,166,,332,0.34645725
Trades,Data,Order,Stock,USD,COIN,"2022-02-24, 09:30:04",2,159.46,,318.92,0.35365725
Trades,Data,Order,Stock,USD,COIN,"2022-05-06, 13:42:52",3,105.22,,315.66,1
Trades,Data,Order,Stock,USD,COIN,"2022-05-24, 09:31:07",4,63.33,,253.32,1
Trades,Data,Order,Stock,USD,COIN,"2022-11-17, 09:30:32",5,46.33,,231.65,1
Trades,Data,Order,Stock,USD,CRNC,"2022-02-16, 09:33:36",12,41.33,,495.96,0.32745725
Trades,Data,Order,Stock,USD,KAP,"2022-01-06, 03:00:23",13,36.35,,472.55,1.93046785
Trades,Data,Order,Stock,USD,TCS,"2022-02-21, 07:43:04",9,58.14,,523.26,1.930971984
Trades,Data,Order,Stock,USD,TCS,"2022-02-24, 11:18:57",10,21.33,,213.30,1.930296134
Trades,Data,Order,Stock,USD,TCS,"2022-02-28, 10:33:59",15,10.13,,151.95,1.927992061
Trades,Data,Order,Stock,USD,TCS,"2022-03-01, 04:00:01",40,6.93,,277.20,1.928077707
Trades,Data,Order,Stock,USD,VEON,"2022-02-18, 13:32:16",350,1.31,,458.50,0.560900375
Trades,Data,Order,Stock,USD,VEON,"2022-02-24, 12:33:18",300,0.881,,264.300,1.11077175
Trades,Data,Order,Stock,USD,VEON,"2022-02-25, 14:43:43",300,0.8033,,240.9900,1.11077175
Trades,Data,Order,Stock,USD,VEON,"2022-02-28, 13:58:52",500,0.5633,,281.6500,1.85128625
Trades,Data,Order,Stock,USD,VEON,"2022-03-02, 09:42:40",300,0.4033,,120.9900,0.962312713
Trades,Data,Order,Stock,USD,YNDX,"2022-02-24, 11:42:42",20,15.31,,306.20,0.31225725
Trades,Data,Order,Stock,EUR,BNBA,"2022-07-13, 08:37:13",15,16.3297,,244.9455,3.75
Trades,Data,Order,Stock,HKD,1300,"2022-04-20, 21:32:00",2000,0.51,,1020.00,20.02907
Trades,Data,Order,Stock,HKD,1300,"2022-07-28, 23:24:48",4000,0.62,,2480.00,22.07068
Trades,Data,Order,Stock,USD,AAPL,"2022-05-06, 13:46:55",2,158.02,,316.04,1
Trades,Data,Order,Stock,USD,AAPL,"2022-09-13, 15:28:13",4,154.2,,616.8,1
Trades,Data,Order,Stock,USD,ABNB,"2022-07-13, 08:33:14",15,16.33,,244.95,4
Trades,Data,Order,Stock,USD,ABNB,"2022-11-10, 08:24:00",20,20.22,,404.40,4
Trades,Data,Order,Stock,USD,BKKT,"2022-07-06, 09:30:00",50,2.31,,115.50,1
Trades,Data,Order,Stock,USD,CORZ,"2022-07-12, 10:23:03",150,1.51,,226.50,1
Trades,Data,Order,Stock,USD,CORZ,"2022-07-11, 09:30:02",50,1.82,,91.00,1
Trades,Data,Order,Stock,USD,CORZ,"2022-08-19, 09:48:01",150,2.61,,391.50,1
Trades,Data,Order,Stock,USD,ETHE,"2022-11-11, 11:21:56",25,7.7,,192.5,1
Trades,Data,Order,Stock,USD,ETHE,"2022-11-11, 15:11:29",50,7.5,,375.0,1
Trades,Data,Order,Stock,USD,GBTC,"2022-07-06, 08:00:00",10,12.93,,129.30,1
Trades,Data,Order,Stock,USD,GBTC,"2022-07-12, 08:00:00",20,12.06,,241.20,1
Trades,Data,Order,Stock,USD,MARA,"2022-07-13, 09:30:02",30,7.51,,225.30,1
Trades,Data,Order,Stock,USD,MARA,"2022-08-25, 14:48:37",20,12.63,,252.60,1
Trades,Data,Order,Stock,USD,MARA,"2022-09-19, 09:30:03",25,10.645,,266.125,1
Trades,Data,Order,Stock,USD,MARA,"2022-12-14, 09:32:08",80,4.61,,368.80,1
Trades,Data,Order,Stock,USD,MSFT,"2022-05-06, 13:47:08",1,275.45,,275.45,1
Trades,Data,Order,Stock,USD,MSFT,"2022-05-06, 15:24:52",2,271.33,,542.66,1
Trades,Data,Order,Stock,USD,MSFT,"2022-09-14, 15:16:09",1,250.33,,250.33,1
Trades,Data,Order,Stock,USD,NVDA,"2022-09-16, 12:43:57",3,129.115,,387.345,1
Trades,Data,Order,Stock,USD,WBD,"2022-07-28, 12:15:45",10,15.315,,153.150,1
Trades,Data,Order,Stock,USD,WBD,"2022-08-16, 10:30:42",15,12.84,,192.60,1
Trades,Data,Order,Stock,USD,WBD,"2022-10-31, 09:30:02",20,12.8,,256.0,1
Trades,Data,Order,Stock,USD,ZM,"2022-08-23, 09:30:02",4,84.28,,337.12,1
